areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,Scotland,S92000003,2020-07-06,8,18317
nation,Scotland,S92000003,2020-07-05,2,18309
nation,Scotland,S92000003,2020-07-04,5,18307
nation,Scotland,S92000003,2020-07-03,6,18302
nation,Scotland,S92000003,2020-07-02,13,18296
nation,Scotland,S92000003,2020-07-01,11,18283
nation,Scotland,S92000003,2020-06-30,8,18272
nation,Scotland,S92000003,2020-06-29,14,18264
nation,Scotland,S92000003,2020-06-28,3,18250
nation,Scotland,S92000003,2020-06-27,4,18247
nation,Scotland,S92000003,2020-06-26,6,18243
nation,Scotland,S92000003,2020-06-25,19,18237
nation,Scotland,S92000003,2020-06-24,8,18218
nation,Scotland,S92000003,2020-06-23,20,18210
nation,Scotland,S92000003,2020-06-22,11,18190
nation,Scotland,S92000003,2020-06-21,9,18179
nation,Scotland,S92000003,2020-06-20,6,18170
nation,Scotland,S92000003,2020-06-19,23,18164
nation,Scotland,S92000003,2020-06-18,14,18141
nation,Scotland,S92000003,2020-06-17,33,18127
nation,Scotland,S92000003,2020-06-16,17,18094
nation,Scotland,S92000003,2020-06-15,21,18077
nation,Scotland,S92000003,2020-06-14,13,18056
nation,Scotland,S92000003,2020-06-13,23,18043
nation,Scotland,S92000003,2020-06-12,30,18020
nation,Scotland,S92000003,2020-06-11,21,17990
nation,Scotland,S92000003,2020-06-10,29,17969
nation,Scotland,S92000003,2020-06-09,27,17940
nation,Scotland,S92000003,2020-06-08,18,17913
nation,Scotland,S92000003,2020-06-07,17,17895
nation,Scotland,S92000003,2020-06-06,22,17878
nation,Scotland,S92000003,2020-06-05,24,17856
nation,Scotland,S92000003,2020-06-04,35,17832
nation,Scotland,S92000003,2020-06-03,35,17797
nation,Scotland,S92000003,2020-06-02,45,17762
nation,Scotland,S92000003,2020-06-01,38,17717
nation,Scotland,S92000003,2020-05-31,23,17679
nation,Scotland,S92000003,2020-05-30,40,17656
nation,Scotland,S92000003,2020-05-29,29,17616
nation,Scotland,S92000003,2020-05-28,55,17587
nation,Scotland,S92000003,2020-05-27,66,17532
nation,Scotland,S92000003,2020-05-26,77,17466
nation,Scotland,S92000003,2020-05-25,97,17389
nation,Scotland,S92000003,2020-05-24,54,17292
nation,Scotland,S92000003,2020-05-23,50,17238
nation,Scotland,S92000003,2020-05-22,92,17188
nation,Scotland,S92000003,2020-05-21,111,17096
nation,Scotland,S92000003,2020-05-20,121,16985
nation,Scotland,S92000003,2020-05-19,182,16864
nation,Scotland,S92000003,2020-05-18,140,16682
nation,Scotland,S92000003,2020-05-17,92,16542
nation,Scotland,S92000003,2020-05-16,103,16450
nation,Scotland,S92000003,2020-05-15,152,16347
nation,Scotland,S92000003,2020-05-14,212,16195
nation,Scotland,S92000003,2020-05-13,198,15983
nation,Scotland,S92000003,2020-05-12,231,15785
nation,Scotland,S92000003,2020-05-11,261,15554
nation,Scotland,S92000003,2020-05-10,150,15293
nation,Scotland,S92000003,2020-05-09,177,15143
nation,Scotland,S92000003,2020-05-08,254,14966
nation,Scotland,S92000003,2020-05-07,290,14712
nation,Scotland,S92000003,2020-05-06,306,14422
nation,Scotland,S92000003,2020-05-05,288,14116
nation,Scotland,S92000003,2020-05-04,329,13828
nation,Scotland,S92000003,2020-05-03,189,13499
nation,Scotland,S92000003,2020-05-02,217,13310
nation,Scotland,S92000003,2020-05-01,368,13093
nation,Scotland,S92000003,2020-04-30,335,12725
nation,Scotland,S92000003,2020-04-29,430,12390
nation,Scotland,S92000003,2020-04-28,380,11960
nation,Scotland,S92000003,2020-04-27,430,11580
nation,Scotland,S92000003,2020-04-26,172,11150
nation,Scotland,S92000003,2020-04-25,184,10978
nation,Scotland,S92000003,2020-04-24,305,10794
nation,Scotland,S92000003,2020-04-23,314,10489
nation,Scotland,S92000003,2020-04-22,340,10175
nation,Scotland,S92000003,2020-04-21,399,9835
nation,Scotland,S92000003,2020-04-20,776,9436
nation,Scotland,S92000003,2020-04-19,159,8660
nation,Scotland,S92000003,2020-04-18,264,8501
nation,Scotland,S92000003,2020-04-17,394,8237
nation,Scotland,S92000003,2020-04-16,428,7843
nation,Scotland,S92000003,2020-04-15,331,7415
nation,Scotland,S92000003,2020-04-14,346,7084
nation,Scotland,S92000003,2020-04-13,359,6738
nation,Scotland,S92000003,2020-04-12,220,6379
nation,Scotland,S92000003,2020-04-11,185,6159
nation,Scotland,S92000003,2020-04-10,329,5974
nation,Scotland,S92000003,2020-04-09,304,5645
nation,Scotland,S92000003,2020-04-08,343,5341
nation,Scotland,S92000003,2020-04-07,351,4998
nation,Scotland,S92000003,2020-04-06,404,4647
nation,Scotland,S92000003,2020-04-05,225,4243
nation,Scotland,S92000003,2020-04-04,260,4018
nation,Scotland,S92000003,2020-04-03,379,3758
nation,Scotland,S92000003,2020-04-02,355,3379
nation,Scotland,S92000003,2020-04-01,384,3024
nation,Scotland,S92000003,2020-03-31,340,2640
nation,Scotland,S92000003,2020-03-30,321,2300
nation,Scotland,S92000003,2020-03-29,197,1979
nation,Scotland,S92000003,2020-03-28,205,1782
nation,Scotland,S92000003,2020-03-27,274,1577
nation,Scotland,S92000003,2020-03-26,223,1303
nation,Scotland,S92000003,2020-03-25,187,1080
nation,Scotland,S92000003,2020-03-24,167,893
nation,Scotland,S92000003,2020-03-23,138,726
nation,Scotland,S92000003,2020-03-22,75,588
nation,Scotland,S92000003,2020-03-21,66,513
nation,Scotland,S92000003,2020-03-20,83,447
nation,Scotland,S92000003,2020-03-19,49,364
nation,Scotland,S92000003,2020-03-18,41,315
nation,Scotland,S92000003,2020-03-17,43,274
nation,Scotland,S92000003,2020-03-16,21,231
nation,Scotland,S92000003,2020-03-15,12,210
nation,Scotland,S92000003,2020-03-14,19,198
nation,Scotland,S92000003,2020-03-13,48,179
nation,Scotland,S92000003,2020-03-12,38,131
nation,Scotland,S92000003,2020-03-11,26,93
nation,Scotland,S92000003,2020-03-10,21,67
nation,Scotland,S92000003,2020-03-09,16,46
nation,Scotland,S92000003,2020-03-08,3,30
nation,Scotland,S92000003,2020-03-07,6,27
nation,Scotland,S92000003,2020-03-06,6,21
nation,Scotland,S92000003,2020-03-05,2,15
nation,Scotland,S92000003,2020-03-04,6,13
nation,Scotland,S92000003,2020-03-03,3,7
nation,Scotland,S92000003,2020-03-02,1,4
nation,Scotland,S92000003,2020-03-01,2,3
nation,Scotland,S92000003,2020-02-29,0,1
nation,Scotland,S92000003,2020-02-28,1,1
nation,Wales,W92000004,2020-09-18,33,20644
nation,Wales,W92000004,2020-09-17,144,20611
nation,Wales,W92000004,2020-09-16,187,20467
nation,Wales,W92000004,2020-09-15,151,20280
nation,Wales,W92000004,2020-09-14,188,20129
nation,Wales,W92000004,2020-09-13,165,19941
nation,Wales,W92000004,2020-09-12,139,19776
nation,Wales,W92000004,2020-09-11,145,19637
nation,Wales,W92000004,2020-09-10,186,19492
nation,Wales,W92000004,2020-09-09,158,19306
nation,Wales,W92000004,2020-09-08,143,19148
nation,Wales,W92000004,2020-09-07,159,19005
nation,Wales,W92000004,2020-09-06,131,18846
nation,Wales,W92000004,2020-09-05,128,18715
nation,Wales,W92000004,2020-09-04,149,18587
nation,Wales,W92000004,2020-09-03,125,18438
nation,Wales,W92000004,2020-09-02,95,18313
nation,Wales,W92000004,2020-09-01,57,18218
nation,Wales,W92000004,2020-08-31,44,18161
nation,Wales,W92000004,2020-08-30,46,18117
nation,Wales,W92000004,2020-08-29,44,18071
nation,Wales,W92000004,2020-08-28,52,18027
nation,Wales,W92000004,2020-08-27,50,17975
nation,Wales,W92000004,2020-08-26,44,17925
nation,Wales,W92000004,2020-08-25,50,17881
nation,Wales,W92000004,2020-08-24,36,17831
nation,Wales,W92000004,2020-08-23,11,17795
nation,Wales,W92000004,2020-08-22,19,17784
nation,Wales,W92000004,2020-08-21,23,17765
nation,Wales,W92000004,2020-08-20,31,17742
nation,Wales,W92000004,2020-08-19,35,17711
nation,Wales,W92000004,2020-08-18,38,17676
nation,Wales,W92000004,2020-08-17,19,17638
nation,Wales,W92000004,2020-08-16,18,17619
nation,Wales,W92000004,2020-08-15,10,17601
nation,Wales,W92000004,2020-08-14,17,17591
nation,Wales,W92000004,2020-08-13,17,17574
nation,Wales,W92000004,2020-08-12,24,17557
nation,Wales,W92000004,2020-08-11,27,17533
nation,Wales,W92000004,2020-08-10,19,17506
nation,Wales,W92000004,2020-08-09,8,17487
nation,Wales,W92000004,2020-08-08,5,17479
nation,Wales,W92000004,2020-08-07,15,17474
nation,Wales,W92000004,2020-08-06,22,17459
nation,Wales,W92000004,2020-08-05,22,17437
nation,Wales,W92000004,2020-08-04,24,17415
nation,Wales,W92000004,2020-08-03,22,17391
nation,Wales,W92000004,2020-08-02,14,17369
nation,Wales,W92000004,2020-08-01,16,17355
nation,Wales,W92000004,2020-07-31,16,17339
nation,Wales,W92000004,2020-07-30,30,17323
nation,Wales,W92000004,2020-07-29,27,17293
nation,Wales,W92000004,2020-07-28,27,17266
nation,Wales,W92000004,2020-07-27,23,17239
nation,Wales,W92000004,2020-07-26,35,17216
nation,Wales,W92000004,2020-07-25,24,17181
nation,Wales,W92000004,2020-07-24,30,17157
nation,Wales,W92000004,2020-07-23,31,17127
nation,Wales,W92000004,2020-07-22,25,17096
nation,Wales,W92000004,2020-07-21,61,17071
nation,Wales,W92000004,2020-07-20,43,17010
nation,Wales,W92000004,2020-07-19,10,16967
nation,Wales,W92000004,2020-07-18,11,16957
nation,Wales,W92000004,2020-07-17,17,16946
nation,Wales,W92000004,2020-07-16,25,16929
nation,Wales,W92000004,2020-07-15,18,16904
nation,Wales,W92000004,2020-07-14,23,16886
nation,Wales,W92000004,2020-07-13,24,16863
nation,Wales,W92000004,2020-07-12,10,16839
nation,Wales,W92000004,2020-07-11,12,16829
nation,Wales,W92000004,2020-07-10,29,16817
nation,Wales,W92000004,2020-07-09,22,16788
nation,Wales,W92000004,2020-07-08,14,16766
nation,Wales,W92000004,2020-07-07,28,16752
nation,Wales,W92000004,2020-07-06,35,16724
nation,Wales,W92000004,2020-07-05,12,16689
nation,Wales,W92000004,2020-07-04,9,16677
nation,Wales,W92000004,2020-07-03,19,16668
nation,Wales,W92000004,2020-07-02,28,16649
nation,Wales,W92000004,2020-07-01,27,16621
nation,Wales,W92000004,2020-06-30,35,16594
nation,Wales,W92000004,2020-06-29,43,16559
nation,Wales,W92000004,2020-06-28,28,16516
nation,Wales,W92000004,2020-06-27,140,16488
nation,Wales,W92000004,2020-06-26,19,16348
nation,Wales,W92000004,2020-06-25,60,16329
nation,Wales,W92000004,2020-06-24,37,16269
nation,Wales,W92000004,2020-06-23,131,16232
nation,Wales,W92000004,2020-06-22,66,16101
nation,Wales,W92000004,2020-06-21,76,16035
nation,Wales,W92000004,2020-06-20,47,15959
nation,Wales,W92000004,2020-06-19,140,15912
nation,Wales,W92000004,2020-06-18,62,15772
nation,Wales,W92000004,2020-06-17,64,15710
nation,Wales,W92000004,2020-06-16,82,15646
nation,Wales,W92000004,2020-06-15,66,15564
nation,Wales,W92000004,2020-06-14,54,15498
nation,Wales,W92000004,2020-06-13,70,15444
nation,Wales,W92000004,2020-06-12,75,15374
nation,Wales,W92000004,2020-06-11,66,15299
nation,Wales,W92000004,2020-06-10,67,15233
nation,Wales,W92000004,2020-06-09,62,15166
nation,Wales,W92000004,2020-06-08,74,15104
nation,Wales,W92000004,2020-06-07,34,15030
nation,Wales,W92000004,2020-06-06,53,14996
nation,Wales,W92000004,2020-06-05,55,14943
nation,Wales,W92000004,2020-06-04,60,14888
nation,Wales,W92000004,2020-06-03,75,14828
nation,Wales,W92000004,2020-06-02,73,14753
nation,Wales,W92000004,2020-06-01,64,14680
nation,Wales,W92000004,2020-05-31,46,14616
nation,Wales,W92000004,2020-05-30,70,14570
nation,Wales,W92000004,2020-05-29,107,14500
nation,Wales,W92000004,2020-05-28,102,14393
nation,Wales,W92000004,2020-05-27,118,14291
nation,Wales,W92000004,2020-05-26,102,14173
nation,Wales,W92000004,2020-05-25,105,14071
nation,Wales,W92000004,2020-05-24,82,13966
nation,Wales,W92000004,2020-05-23,123,13884
nation,Wales,W92000004,2020-05-22,137,13761
nation,Wales,W92000004,2020-05-21,132,13624
nation,Wales,W92000004,2020-05-20,166,13492
nation,Wales,W92000004,2020-05-19,213,13326
nation,Wales,W92000004,2020-05-18,168,13113
nation,Wales,W92000004,2020-05-17,118,12945
nation,Wales,W92000004,2020-05-16,166,12827
nation,Wales,W92000004,2020-05-15,179,12661
nation,Wales,W92000004,2020-05-14,132,12482
nation,Wales,W92000004,2020-05-13,153,12350
nation,Wales,W92000004,2020-05-12,150,12197
nation,Wales,W92000004,2020-05-11,178,12047
nation,Wales,W92000004,2020-05-10,107,11869
nation,Wales,W92000004,2020-05-09,136,11762
nation,Wales,W92000004,2020-05-08,115,11626
nation,Wales,W92000004,2020-05-07,176,11511
nation,Wales,W92000004,2020-05-06,171,11335
nation,Wales,W92000004,2020-05-05,175,11164
nation,Wales,W92000004,2020-05-04,139,10989
nation,Wales,W92000004,2020-05-03,105,10850
nation,Wales,W92000004,2020-05-02,179,10745
nation,Wales,W92000004,2020-05-01,176,10566
nation,Wales,W92000004,2020-04-30,200,10390
nation,Wales,W92000004,2020-04-29,176,10190
nation,Wales,W92000004,2020-04-28,153,10014
nation,Wales,W92000004,2020-04-27,172,9861
nation,Wales,W92000004,2020-04-26,121,9689
nation,Wales,W92000004,2020-04-25,136,9568
nation,Wales,W92000004,2020-04-24,213,9432
nation,Wales,W92000004,2020-04-23,201,9219
nation,Wales,W92000004,2020-04-22,253,9018
nation,Wales,W92000004,2020-04-21,259,8765
nation,Wales,W92000004,2020-04-20,281,8506
nation,Wales,W92000004,2020-04-19,181,8225
nation,Wales,W92000004,2020-04-18,247,8044
nation,Wales,W92000004,2020-04-17,324,7797
nation,Wales,W92000004,2020-04-16,363,7473
nation,Wales,W92000004,2020-04-15,361,7110
nation,Wales,W92000004,2020-04-14,317,6749
nation,Wales,W92000004,2020-04-13,273,6432
nation,Wales,W92000004,2020-04-12,247,6159
nation,Wales,W92000004,2020-04-11,247,5912
nation,Wales,W92000004,2020-04-10,308,5665
nation,Wales,W92000004,2020-04-09,391,5357
nation,Wales,W92000004,2020-04-08,386,4966
nation,Wales,W92000004,2020-04-07,386,4580
nation,Wales,W92000004,2020-04-06,383,4194
nation,Wales,W92000004,2020-04-05,223,3811
nation,Wales,W92000004,2020-04-04,282,3588
nation,Wales,W92000004,2020-04-03,330,3306
nation,Wales,W92000004,2020-04-02,336,2976
nation,Wales,W92000004,2020-04-01,327,2640
nation,Wales,W92000004,2020-03-31,277,2313
nation,Wales,W92000004,2020-03-30,343,2036
nation,Wales,W92000004,2020-03-29,159,1693
nation,Wales,W92000004,2020-03-28,167,1534
nation,Wales,W92000004,2020-03-27,193,1367
nation,Wales,W92000004,2020-03-26,177,1174
nation,Wales,W92000004,2020-03-25,190,997
nation,Wales,W92000004,2020-03-24,141,807
nation,Wales,W92000004,2020-03-23,133,666
nation,Wales,W92000004,2020-03-22,76,533
nation,Wales,W92000004,2020-03-21,75,457
nation,Wales,W92000004,2020-03-20,73,382
nation,Wales,W92000004,2020-03-19,60,309
nation,Wales,W92000004,2020-03-18,36,249
nation,Wales,W92000004,2020-03-17,37,213
nation,Wales,W92000004,2020-03-16,37,176
nation,Wales,W92000004,2020-03-15,32,139
nation,Wales,W92000004,2020-03-14,19,107
nation,Wales,W92000004,2020-03-13,28,88
nation,Wales,W92000004,2020-03-12,25,60
nation,Wales,W92000004,2020-03-11,15,35
nation,Wales,W92000004,2020-03-10,12,20
nation,Wales,W92000004,2020-03-09,3,8
nation,Wales,W92000004,2020-03-08,1,5
nation,Wales,W92000004,2020-03-07,2,4
nation,Wales,W92000004,2020-03-06,0,2
nation,Wales,W92000004,2020-03-05,0,2
nation,Wales,W92000004,2020-03-04,1,2
nation,Wales,W92000004,2020-03-03,0,1
nation,Wales,W92000004,2020-03-02,0,1
nation,Wales,W92000004,2020-03-01,0,1
nation,Wales,W92000004,2020-02-29,0,1
nation,Wales,W92000004,2020-02-28,0,1
nation,Wales,W92000004,2020-02-27,1,1
